id,Name,Property_type,Country,code,latitude,longitude,neighbourhood,Accomadates,Price,guests_included,Extra_people,min_nights,max_nights,Cancellation_policy,amenities,availability_365,bedrooms,beds,room_type,last_review,Reviews_count,review_score,host_listings,host_name,host_id,verified_host
222,Beautiful in Ipanema for your Family,Apartment,Brazil,BRA,-22.98570389,-43.20246233,Ipanema,6,351,3,80,3,90,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Pets allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Essentials', 'Hangers', 'Laptop friendly workspace']",130,3,8,Entire home/apt,24-01-2017 05:00,4,100,35,Fabi,5737780,TRUE
223,The Sassy Lilac Megan Love Room,House,United States of America,USA,19.61171,-155.97975,Kailua/Kona,2,100,1,0,1,1125,moderate,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Breakfast', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Beach essentials', 'Host greets you']",284,1,1,Private room,13-02-2019 05:00,203,99,4,Megan,25282650,FALSE
224,Luxury 1 Bedroom Central Park Views,Condominium,United States of America,USA,40.79208,-73.96482,Manhattan,3,1000,2,0,30,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Paid parking off premises', 'Doorman', 'Gym', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Bathtub', 'Children’s books and toys', 'Window guards', 'Crib', 'Children’s dinnerware', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you', 'Paid parking on premises']",365,1,1,Entire home/apt,27-01-2016 05:00,24,98,13,Henry,836168,TRUE
227,"Cosy flat,walking distance tocenter",Apartment,Turkey,TUR,40.98909,29.04503,Kadıköy,2,190,1,0,1,1125,flexible,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Free street parking', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hair dryer', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Host greets you']",363,1,2,Private room,09-05-2017 04:00,5,100,1,Aylin,15756802,FALSE
228,1 BR 1/2 block to A/B/C/D trains,Apartment,United States of America,USA,40.83307,-73.93957,Manhattan,2,48,1,15,7,30,strict_14_with_grace_period,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Safety card', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hair dryer', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Private entrance', 'Hot water']",365,1,1,Private room,21-02-2019 05:00,45,94,2,Marcelo,6298986,TRUE
229,LightHouse with Sea View,Apartment,Portugal,PRT,41.15171,-8.67643,,2,80,2,10,2,1125,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'High chair', 'Children’s books and toys', 'Crib', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Patio or balcony', 'Beach essentials', 'Luggage dropoff allowed', 'Wide hallway clearance', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Host greets you', 'Beachfront']",216,1,1,Entire home/apt,11-10-2018 04:00,1,100,3,David - LightHouse,37725953,FALSE
230,Tai Hang (Causeway Bay) Sunny Aprt',Apartment,Hong Kong,CHN,22.27928,114.19243,Causeway Bay,3,761,3,200,2,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoke detector', 'Essentials', 'Hangers', 'Iron', 'translation missing: en.hosting_amenity_50', 'Host greets you']",0,2,2,Entire home/apt,25-02-2018 05:00,11,98,2,Su,1946293,FALSE
231,GRACE BEAUTIFUL LOFT IN BARCELONA-At least 32 days,Apartment,Spain,ESP,41.40462,2.15884,Gràcia,2,60,2,0,31,330,moderate,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Room-darkening shades', 'Hot water', 'Ethernet connection', 'Air purifier']",358,1,1,Entire home/apt,15-06-2017 04:00,6,65,2,Lourdes,4878564,TRUE
234,Brick House: Unique Garden Apartment! King Bed!,Apartment,United States of America,USA,40.68174,-73.91365,Brooklyn,4,125,2,20,2,365,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private living room', 'Bathtub', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'BBQ grill', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Step-free access', 'Step-free access']",345,1,1,Entire home/apt,14-12-2018 05:00,37,94,3,Aswad,3483450,TRUE
235,"Big, glamorous, 4BR, 3-story house",House,United States of America,USA,40.68675,-73.97713,Fort Greene,8,499,5,100,2,1125,strict_14_with_grace_period,"['Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Private entrance', 'Pack ’n Play/travel crib', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed']",245,4,7,Entire home/apt,23-02-2019 05:00,104,97,1,Jon,2199502,TRUE
236,Wellyet Guest House@Room 2,Apartment,Hong Kong,CHN,22.2982,114.17366,Tsim Sha Tsui,2,267,2,100,1,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Paid parking off premises', 'Elevator', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you', 'Paid parking on premises']",348,1,1,Private room,30-12-2018 05:00,36,90,14,Natalie,40699783,TRUE
237,Fresh and modern 1BR in Bed-Stuy,Apartment,United States of America,USA,40.68683,-73.92922,Bedford-Stuyvesant,2,79,1,0,2,1125,strict_14_with_grace_period,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'Self check-in', 'Lockbox']",270,1,1,Entire home/apt,19-02-2019 05:00,180,93,1,Shaila & Alex,6334250,FALSE
238,Feel like home,Apartment,Canada,CA,45.51028,-73.57179,Le Plateau-Mont-Royal,2,55,1,0,1,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets allowed', 'Elevator', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Well-lit path to entrance']",143,0,1,Entire home/apt,30-09-2018 04:00,42,92,1,Titi,61100954,FALSE
239,"Bright, sunny quite room Bushwick",Apartment,United States of America,USA,40.71112,-73.91932,Ridgewood,2,60,1,10,2,1125,strict_14_with_grace_period,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Lock on bedroom door', 'Laptop friendly workspace']",0,1,1,Private room,24-08-2016 04:00,2,100,1,Louise,10929225,TRUE
240,"Bright, Modern, Spacious Duplex Apt",Apartment,United States of America,USA,40.76964,-73.92117,Astoria,4,90,2,0,2,3,moderate,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Essentials', 'Shampoo', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets']",0,1,1,Entire home/apt,31-12-2018 05:00,28,98,4,Gabriel,1253313,TRUE
241,The Local Nook // Cozy Kona Hale,Guest suite,United States of America,USA,19.67155,-155.9943,Kailua/Kona,2,150,2,15,2,1125,strict_14_with_grace_period,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Private entrance', 'Hot water']",3,1,2,Entire home/apt,26-11-2018 05:00,25,96,1,Ciara,29480889,FALSE
242,Apartamento en casco antiguo,Apartment,Spain,ESP,41.37903,2.17877,Ciutat Vella,4,55,1,0,31,1125,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'High chair', 'Crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout', 'Wide doorway', 'Step-free access', 'Wide clearance to bed', 'Step-free access', 'Host greets you', 'Handheld shower head']",36,3,4,Entire home/apt,06-02-2018 05:00,7,93,15,Luis,22076771,TRUE
243,Museum Mile 1 BR - Madison Ave,Apartment,United States of America,USA,40.78465,-73.95735,Manhattan,4,133,1,0,30,365,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets']",340,1,1,Entire home/apt,19-01-2019 05:00,7,80,85,Corporate Housing,61391963,FALSE
245,The Ohana at Volcanoes National Park!,Guesthouse,United States of America,USA,19.43327,-155.22212,Island of Hawaiʻi,6,100,6,20,1,30,moderate,"['TV', 'Wifi', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Private entrance', 'Outlet covers', 'Bathtub', 'High chair', 'Children’s books and toys', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Children’s dinnerware', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'BBQ grill', 'Garden or backyard', 'Long term stays allowed', 'Wide hallway clearance', 'Step-free access', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access', 'Wide clearance to bed', 'Step-free access', 'Step-free access', 'Wide entryway']",133,1,3,Entire home/apt,05-03-2019 05:00,385,98,1,David,31348206,TRUE
246,Charming apartment with balcony,Apartment,Brazil,BRA,-22.98412694,-43.22855619,Leblon,5,250,3,60,3,89,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Pets allowed', 'Doorman', 'Buzzer/wireless intercom', 'Family/kid friendly']",311,1,1,Entire home/apt,19-06-2017 04:00,22,93,10,Silvia,4284876,TRUE
248,Appartement 3 1/2 en résidence,Condominium,Canada,CA,45.55264,-73.60386,Villeray-Saint-Michel-Parc-Extension,2,35,1,0,5,45,strict_14_with_grace_period,"['Wifi', 'Kitchen', 'Heating', 'Washer', 'Dryer', 'Essentials', '24-hour check-in', 'Hangers', 'Iron']",0,1,1,Entire home/apt,19-07-2016 04:00,2,70,1,Lansana,61646690,FALSE
249,Charming Private Brooklyn Bedroom,Apartment,United States of America,USA,40.72804,-73.95646,Greenpoint,1,105,1,0,1,1125,moderate,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Hangers', 'Iron', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",365,1,1,Private room,25-10-2018 04:00,58,98,1,Kris,4266047,TRUE
251,Apartamento com 2 quartos Leblon,Apartment,Brazil,BRA,-22.98655049,-43.23045779,Leblon,4,548,1,100,2,365,flexible,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Elevator', 'Free street parking', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",214,2,2,Entire home/apt,28-01-2019 05:00,2,100,1,Rodrigo,62031792,FALSE
253,Studio Apartment w/ Private Rooftop,Apartment,Hong Kong,CHN,22.28515,114.15037,Central & Western District,2,903,1,0,3,1125,flexible,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Iron', 'Laptop friendly workspace']",0,0,1,Entire home/apt,02-05-2016 04:00,1,100,2,Madelon,6394019,TRUE
255,Next to Barcelona Fair and Magic Fountain,Apartment,Spain,ESP,41.37587,2.15375,Eixample,6,90,6,0,1,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Iron', 'Bed linens', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Oven', 'Patio or balcony']",223,4,4,Entire home/apt,24-02-2019 05:00,20,84,30,Clickandflat,1986299,TRUE
256,Nice room with queen sized bed,Apartment,Canada,CA,45.52572,-73.58677,Le Plateau-Mont-Royal,1,30,1,0,30,730,moderate,"['Wifi', 'Air conditioning', 'Kitchen', 'Free street parking', 'Heating', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Host greets you']",193,1,1,Private room,01-07-2018 04:00,122,88,8,Jen,528512,TRUE
257,*CoZy Private Williamsburg Home*,Apartment,United States of America,USA,40.70998,-73.94854,Williamsburg,4,225,1,0,2,1125,flexible,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Hot tub', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",138,2,4,Entire home/apt,01-01-2019 05:00,94,97,1,Sal,62130666,FALSE
258,Cozy and modern Lapa-studio,Apartment,Brazil,BRA,-22.91063853,-43.18273635,,2,112,1,0,3,360,moderate,"['TV', 'Cable TV', 'Wifi', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Paid parking off premises', 'Doorman', 'Gym', 'Elevator', 'Buzzer/wireless intercom', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Building staff', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Wide hallway clearance', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Accessible-height bed', 'Step-free access']",135,1,2,Entire home/apt,01-02-2019 05:00,33,97,3,Dejanira,8557006,FALSE
260,2 BR Oceanview - Great Location!,Condominium,United States of America,USA,20.73013,-156.44917,Kihei/Wailea,5,200,1,0,1,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water', 'Long term stays allowed']",305,2,2,Entire home/apt,10-02-2019 05:00,17,94,4,Jennifer,62150628,FALSE
261,Fabulous occasion orange,Apartment,Portugal,PRT,41.14464,-8.61181,,2,34,2,0,2,1125,moderate,"['Wifi', 'Kitchen', 'Pets allowed', 'Elevator', 'Heating', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Long term stays allowed', 'Host greets you']",183,0,1,Entire home/apt,30-01-2019 05:00,163,94,4,Dulce,41161072,TRUE
262,Cute apt in artist's home,Apartment,United States of America,USA,40.70186,-73.92745,Bushwick,2,85,2,0,2,50,strict_14_with_grace_period,"['Internet', 'Wifi', 'Heating', 'Washer', 'Dryer']",33,1,1,Entire home/apt,03-02-2019 05:00,207,87,2,Tyrome,44145,FALSE
264,STUDIO COPACABANA VISTA MAR,Other,Brazil,BRA,-22.98072209,-43.18908544,Copacabana,4,250,1,0,5,1125,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', '24-hour check-in', 'Beachfront']",252,0,3,Entire home/apt,02-01-2019 05:00,2,100,4,Fernando,62153375,FALSE
265,Bondi beach sunny house,House,Australia,AUS,-33.89172,151.26826,Bondi Beach,1,55,1,0,2,1125,flexible,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Washer', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron']",0,1,1,Private room,24-03-2016 04:00,1,100,2,Kate,4499997,FALSE
268,★Cozy doble bedroom ★Nearby Christ the Redeemer★,House,Brazil,BRA,-22.93691871,-43.19177328,Laranjeiras,2,52,2,0,2,10,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Buzzer/wireless intercom', 'Washer', 'First aid kit', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Keypad', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed']",109,1,1,Private room,25-12-2018 05:00,76,99,4,Rafaela,59638323,FALSE
269,"Conveniently Located, Sunny Brooklyn Heights!",Apartment,United States of America,USA,40.69263,-73.99438,Brooklyn,2,150,1,25,30,365,strict_14_with_grace_period,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",219,1,1,Entire home/apt,26-05-2018 04:00,95,90,1,LuLu,593115,TRUE
270,Luxury Style Space: ideal for short or longterm!,Apartment,United States of America,USA,40.672,-73.94247,Brooklyn,3,38,1,40,1,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Free street parking', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Step-free access', 'Accessible-height toilet']",15,1,1,Private room,30-01-2019 05:00,75,90,5,Dellasie,50199714,TRUE
272,"Double Suite, with private bathroom.",Apartment,Spain,ESP,41.39142,2.183,Eixample,2,40,1,0,1,1125,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Long term stays allowed', 'Host greets you', 'Paid parking on premises']",180,1,1,Private room,05-12-2018 05:00,4,90,2,Eva,3246867,TRUE
273,BEST REVIEWS*BEST MALLS*SAFE STAY*DIMSUM*CWB*MTR,Apartment,Hong Kong,CHN,22.27878,114.18445,Wan Chai District,8,1492,1,79,2,1124,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Paid parking off premises', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private living room', 'Private entrance', 'Outlet covers', 'High chair', 'Babysitter recommendations', 'Crib', 'Room-darkening shades', 'Game console', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Single level home', 'Luggage dropoff allowed', 'Long term stays allowed', 'Wide hallway clearance', 'Step-free access', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access', 'Step-free access', 'Host greets you']",293,3,4,Entire home/apt,29-07-2018 04:00,36,83,5,Susann,1245194,TRUE
274,☼☼ Lovely Colorful Studio ☼☼ Tsim Sha Tsui,Apartment,Hong Kong,CHN,22.30039,114.17308,Yau Tsim Mong,2,502,1,0,1,365,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Smoking allowed', 'Indoor fireplace', 'Family/kid friendly', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Refrigerator', 'Single level home', 'Long term stays allowed', 'Wide hallway clearance', 'Step-free access', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access', 'Wide doorway', 'Accessible-height bed', 'Step-free access', 'Wide doorway', 'Accessible-height toilet', 'Step-free access', 'Wide entryway']",117,0,1,Entire home/apt,08-03-2019 05:00,269,92,1,Hester,62713640,FALSE
275,Inner City Terrace - 2 rooms 2 beds - 4 ppl.,Townhouse,Australia,AUS,-33.88848,151.1965,Darlington,4,171,4,0,2,7,flexible,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Free street parking', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Host greets you']",0,2,2,Private room,11-06-2017 04:00,3,100,4,Jason,9031139,TRUE
276,Cozy & in the heart of Kowloon,Apartment,Hong Kong,CHN,22.29937,114.17546,Yau Tsim Mong,2,691,1,0,4,1125,moderate,"['Air conditioning', 'Kitchen', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hair dryer', 'Iron', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",0,1,1,Entire home/apt,17-01-2017 05:00,3,87,1,Isabelle,41695212,TRUE
277,,Apartment,Canada,CA,45.54904,-73.5824,Rosemont-La Petite-Patrie,3,150,1,0,6,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Kitchen', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Fire extinguisher', 'Essentials']",0,1,2,Entire home/apt,02-08-2016 04:00,1,80,1,Louis-Philippe,2377793,TRUE
